ID	Cluster_ID
CHEMBL68920	22
CHEMBL69960	22
CHEMBL137635	13
CHEMBL306988	3
CHEMBL66879	3
CHEMBL77085	3
CHEMBL443268	22
CHEMBL76979	27
CHEMBL76589	27
CHEMBL77724	3
CHEMBL420385	3
CHEMBL76904	3
CHEMBL1009	12
CHEMBL304271	22
CHEMBL296407	12
CHEMBL309625	3
CHEMBL77825	3
CHEMBL421877	3
CHEMBL310798	3
CHEMBL135592	13
CHEMBL309866	27
CHEMBL77381	27
CHEMBL76602	27
CHEMBL77737	3
CHEMBL76983	3
CHEMBL308134	3
CHEMBL136491	9
CHEMBL77280	27
CHEMBL42423	18
CHEMBL76557	27
CHEMBL336113	14
CHEMBL133024	8
CHEMBL344652	13
CHEMBL77814	3
CHEMBL47986	10
CHEMBL441343	27
CHEMBL138125	8
CHEMBL137364	8
CHEMBL308339	12
CHEMBL78174	3
CHEMBL302552	22
CHEMBL309598	12
CHEMBL78302	3
CHEMBL67057	22
CHEMBL332096	8
CHEMBL77387	3
CHEMBL432903	22
CHEMBL69964	22
CHEMBL65848	22
CHEMBL69129	0
CHEMBL78184	27
CHEMBL76985	27
CHEMBL145	12
CHEMBL69629	22
CHEMBL136492	13
CHEMBL77197	3
CHEMBL305695	3
CHEMBL68258	22
CHEMBL76587	3
CHEMBL77456	3
CHEMBL66570	22
CHEMBL308048	27
CHEMBL311119	3
CHEMBL76905	3
CHEMBL77524	27
CHEMBL305194	22
CHEMBL307250	3
CHEMBL80155	3
CHEMBL343352	14
CHEMBL52765	14
CHEMBL77436	27
CHEMBL311564	12
CHEMBL76642	27
CHEMBL308645	22
CHEMBL67003	22
CHEMBL307248	3
CHEMBL310958	3
CHEMBL78005	3
CHEMBL134312	9
CHEMBL77243	27
CHEMBL80745	3
CHEMBL77778	3
CHEMBL305246	22
CHEMBL69966	22
CHEMBL47940	0
CHEMBL57712	3
CHEMBL77869	3
CHEMBL69358	22
CHEMBL137189	8
CHEMBL137617	8
