ID	Cluster_ID
CHEMBL68920	38
CHEMBL69960	38
CHEMBL137635	51
CHEMBL306988	56
CHEMBL66879	56
CHEMBL77085	2
CHEMBL443268	23
CHEMBL76979	10
CHEMBL76589	10
CHEMBL77724	10
CHEMBL420385	56
CHEMBL76904	2
CHEMBL1009	2
CHEMBL304271	17
CHEMBL296407	2
CHEMBL309625	2
CHEMBL77825	56
CHEMBL421877	10
CHEMBL310798	10
CHEMBL135592	51
CHEMBL309866	10
CHEMBL77381	10
CHEMBL76602	10
CHEMBL77737	56
CHEMBL76983	56
CHEMBL308134	2
CHEMBL136491	42
CHEMBL77280	56
CHEMBL76557	10
CHEMBL336113	74
CHEMBL133024	42
CHEMBL344652	51
CHEMBL77814	56
CHEMBL47986	29
CHEMBL138125	42
CHEMBL137364	42
CHEMBL308339	12
CHEMBL78174	56
CHEMBL302552	23
CHEMBL309598	10
CHEMBL78302	10
CHEMBL67057	38
CHEMBL332096	70
CHEMBL77387	2
CHEMBL432903	17
CHEMBL69964	38
CHEMBL65848	38
CHEMBL78184	10
CHEMBL76985	10
CHEMBL145	1
CHEMBL69629	23
CHEMBL136492	51
CHEMBL77197	18
CHEMBL305695	56
CHEMBL68258	38
CHEMBL76587	56
CHEMBL77456	56
CHEMBL66570	38
CHEMBL308048	10
CHEMBL311119	56
CHEMBL76905	10
CHEMBL77524	10
CHEMBL305194	38
CHEMBL307250	10
CHEMBL80155	10
CHEMBL343352	74
CHEMBL52765	74
CHEMBL311564	56
CHEMBL76642	10
CHEMBL308645	38
CHEMBL67003	38
CHEMBL307248	56
CHEMBL310958	56
CHEMBL78005	56
CHEMBL134312	42
CHEMBL77243	10
CHEMBL80745	10
CHEMBL77778	56
CHEMBL305246	38
CHEMBL69966	23
CHEMBL47940	64
CHEMBL57712	56
CHEMBL77869	10
CHEMBL69358	17
CHEMBL137189	42
CHEMBL137617	42
CHEMBL137027	42
CHEMBL78257	2
CHEMBL76082	56
CHEMBL77595	10
CHEMBL309334	2
CHEMBL310514	56
CHEMBL304971	38
CHEMBL69071	38
CHEMBL137534	42
CHEMBL137788	70
CHEMBL69709	38
CHEMBL424093	42
CHEMBL77030	2
CHEMBL78150	10
CHEMBL69106	38
CHEMBL264382	23
CHEMBL308133	10
CHEMBL307179	10
CHEMBL305782	38
CHEMBL308672	17
CHEMBL133023	42
CHEMBL310400	56
CHEMBL136674	42
CHEMBL73820	2
CHEMBL79064	56
CHEMBL77803	2
CHEMBL75718	43
CHEMBL77298	10
CHEMBL432941	5
CHEMBL420609	5
CHEMBL419682	32
CHEMBL322395	0
CHEMBL88462	32
CHEMBL431996	5
CHEMBL91250	32
CHEMBL88771	5
CHEMBL91815	5
CHEMBL328029	32
CHEMBL314995	5
CHEMBL88483	32
CHEMBL313746	32
CHEMBL89363	5
CHEMBL276711	32
CHEMBL313500	32
CHEMBL89010	32
CHEMBL86531	5
CHEMBL315753	5
CHEMBL88606	32
CHEMBL313821	5
CHEMBL266969	50
CHEMBL138691	65
CHEMBL52829	74
CHEMBL52823	74
CHEMBL8000	50
CHEMBL139307	65
CHEMBL322298	75
CHEMBL111434	75
CHEMBL111197	75
CHEMBL291667	22
CHEMBL8091	39
CHEMBL136058	65
CHEMBL113128	75
CHEMBL51854	74
CHEMBL939	25
CHEMBL95320	21
CHEMBL8271	50
CHEMBL298931	74
CHEMBL292323	22
CHEMBL334334	1
CHEMBL316764	1
CHEMBL545315	55
CHEMBL111365	75
CHEMBL52591	74
CHEMBL64459	62
CHEMBL129989	1
CHEMBL132907	1
CHEMBL268368	64
CHEMBL422292	65
CHEMBL110034	75
CHEMBL113023	75
CHEMBL417420	42
CHEMBL304414	22
CHEMBL106232	75
CHEMBL327127	75
CHEMBL294475	42
CHEMBL266487	28
CHEMBL293261	30
CHEMBL53310	41
CHEMBL267019	50
CHEMBL285063	65
CHEMBL136404	65
CHEMBL113356	75
CHEMBL291979	62
CHEMBL62843	22
CHEMBL63009	22
CHEMBL267941	51
CHEMBL334697	65
CHEMBL434827	65
CHEMBL292287	22
CHEMBL64430	62
CHEMBL64068	22
CHEMBL62067	62
CHEMBL64814	22
CHEMBL137082	65
CHEMBL299347	75
CHEMBL324926	75
CHEMBL53311	74
CHEMBL62176	22
CHEMBL130694	1
CHEMBL423159	1
CHEMBL109759	75
CHEMBL299622	74
CHEMBL138363	65
CHEMBL93464	65
CHEMBL53831	74
CHEMBL299881	42
CHEMBL50027	74
CHEMBL31965	55
CHEMBL344486	65
CHEMBL138940	17
CHEMBL321193	75
CHEMBL419022	75
CHEMBL53426	42
CHEMBL53711	74
CHEMBL344177	65
CHEMBL136178	65
CHEMBL136511	42
CHEMBL416307	42
