ID	Cluster_ID
CHEMBL68920	53
CHEMBL69960	53
CHEMBL137635	67
CHEMBL306988	51
CHEMBL66879	51
CHEMBL77085	30
CHEMBL443268	23
CHEMBL76979	58
CHEMBL76589	58
CHEMBL77724	58
CHEMBL420385	51
CHEMBL76904	30
CHEMBL1009	30
CHEMBL304271	35
CHEMBL296407	30
CHEMBL309625	30
CHEMBL77825	51
CHEMBL421877	58
CHEMBL310798	58
CHEMBL135592	67
CHEMBL309866	58
CHEMBL77381	58
CHEMBL76602	58
CHEMBL77737	51
CHEMBL76983	51
CHEMBL308134	30
CHEMBL136491	52
CHEMBL77280	51
CHEMBL76557	58
CHEMBL336113	4
CHEMBL133024	52
CHEMBL344652	67
CHEMBL77814	51
CHEMBL47986	40
CHEMBL138125	52
CHEMBL137364	52
CHEMBL308339	76
CHEMBL78174	51
CHEMBL302552	23
CHEMBL309598	58
CHEMBL78302	58
CHEMBL67057	53
CHEMBL332096	3
CHEMBL77387	30
CHEMBL432903	35
CHEMBL69964	53
CHEMBL65848	53
CHEMBL78184	58
CHEMBL76985	58
CHEMBL145	19
CHEMBL69629	23
CHEMBL136492	67
CHEMBL77197	42
CHEMBL305695	51
CHEMBL68258	53
CHEMBL76587	51
CHEMBL77456	51
CHEMBL66570	53
CHEMBL308048	58
CHEMBL311119	51
CHEMBL76905	58
CHEMBL77524	58
CHEMBL305194	53
CHEMBL307250	58
CHEMBL80155	58
CHEMBL343352	4
CHEMBL52765	4
CHEMBL311564	51
CHEMBL76642	58
CHEMBL308645	53
CHEMBL67003	53
CHEMBL307248	51
CHEMBL310958	51
CHEMBL78005	51
CHEMBL134312	52
CHEMBL77243	58
CHEMBL80745	58
CHEMBL77778	51
CHEMBL305246	53
CHEMBL69966	23
CHEMBL47940	48
CHEMBL57712	51
CHEMBL77869	58
CHEMBL69358	35
CHEMBL137189	52
CHEMBL137617	52
CHEMBL137027	52
CHEMBL78257	30
CHEMBL76082	51
CHEMBL77595	58
CHEMBL309334	30
CHEMBL310514	51
CHEMBL304971	53
CHEMBL69071	53
CHEMBL137534	52
CHEMBL137788	3
CHEMBL69709	65
CHEMBL424093	52
CHEMBL77030	30
CHEMBL78150	58
CHEMBL69106	53
CHEMBL264382	23
CHEMBL308133	58
CHEMBL307179	58
CHEMBL305782	53
CHEMBL308672	35
CHEMBL133023	52
CHEMBL310400	51
CHEMBL136674	52
CHEMBL73820	30
CHEMBL79064	51
CHEMBL77803	30
CHEMBL75718	13
CHEMBL77298	58
CHEMBL432941	61
CHEMBL420609	61
CHEMBL419682	50
CHEMBL322395	59
CHEMBL88462	50
CHEMBL431996	61
CHEMBL91250	50
CHEMBL88771	61
CHEMBL91815	61
CHEMBL328029	50
CHEMBL314995	61
CHEMBL88483	50
CHEMBL313746	50
CHEMBL89363	61
CHEMBL276711	50
CHEMBL313500	50
CHEMBL89010	50
CHEMBL86531	61
CHEMBL315753	61
CHEMBL88606	50
CHEMBL313821	61
CHEMBL266969	15
CHEMBL138691	77
CHEMBL52829	4
CHEMBL52823	4
CHEMBL8000	15
CHEMBL139307	77
CHEMBL322298	11
CHEMBL111434	11
CHEMBL111197	11
CHEMBL291667	62
CHEMBL8091	32
CHEMBL136058	77
CHEMBL113128	11
CHEMBL51854	4
CHEMBL939	27
CHEMBL95320	71
CHEMBL8271	15
CHEMBL298931	4
CHEMBL292323	62
CHEMBL334334	19
CHEMBL316764	19
CHEMBL545315	25
CHEMBL111365	11
CHEMBL52591	4
CHEMBL64459	47
CHEMBL129989	19
CHEMBL132907	19
CHEMBL268368	48
CHEMBL422292	77
CHEMBL110034	11
CHEMBL113023	11
