ID	Cluster_ID
CHEMBL207869	2
CHEMBL3940060	15
CHEMBL3678951	36
CHEMBL504034	0
CHEMBL158797	55
CHEMBL4069003	7
CHEMBL599047	41
CHEMBL93545	27
CHEMBL93181	27
CHEMBL203644	21
CHEMBL591706	6
CHEMBL217536	41
CHEMBL498134	9
CHEMBL248674	47
CHEMBL129579	9
CHEMBL78150	53
CHEMBL1241948	11
CHEMBL3233765	21
CHEMBL103860	16
CHEMBL3752916	19
CHEMBL93784	41
CHEMBL2047247	31
CHEMBL592153	43
CHEMBL1947122	48
CHEMBL2283257	43
CHEMBL53637	41
CHEMBL1257911	35
CHEMBL1614725	12
CHEMBL21108	50
CHEMBL3335245	32
CHEMBL1821893	35
CHEMBL4065503	41
CHEMBL294681	14
CHEMBL483232	53
CHEMBL2385986	30
CHEMBL3436359	0
CHEMBL1095131	24
CHEMBL205149	26
CHEMBL2425737	41
CHEMBL263666	55
CHEMBL3740910	19
CHEMBL57300	28
CHEMBL598377	37
CHEMBL2348194	17
CHEMBL3092309	13
CHEMBL2029697	36
CHEMBL1080812	0
CHEMBL1088348	36
CHEMBL3671572	38
CHEMBL2312304	30
CHEMBL78184	53
CHEMBL283682	41
CHEMBL3628907	27
CHEMBL4087646	7
CHEMBL110036	48
CHEMBL4091166	41
CHEMBL415738	2
CHEMBL1641989	41
CHEMBL450396	0
CHEMBL4104717	3
CHEMBL117697	47
CHEMBL168921	5
CHEMBL2029436	44
CHEMBL255865	9
CHEMBL57170	14
CHEMBL55979	8
CHEMBL1630117	0
CHEMBL324045	48
CHEMBL4062192	3
CHEMBL3671547	38
CHEMBL112096	29
CHEMBL330668	47
CHEMBL1203934	33
CHEMBL425601	29
CHEMBL205870	2
CHEMBL3085277	46
CHEMBL474343	9
CHEMBL45068	16
CHEMBL3218347	9
CHEMBL4064937	3
CHEMBL1242661	51
CHEMBL111688	48
CHEMBL480348	0
CHEMBL1170459	22
CHEMBL77524	53
CHEMBL56201	28
CHEMBL3800262	46
CHEMBL3671497	38
CHEMBL3957416	13
CHEMBL2408824	44
CHEMBL345837	55
CHEMBL2437474	5
CHEMBL598611	37
CHEMBL35820	27
CHEMBL3416593	17
CHEMBL378145	27
CHEMBL1958220	35
CHEMBL4111809	36
CHEMBL36164	27
CHEMBL3908303	46
CHEMBL3671530	38
CHEMBL511990	13
CHEMBL4093114	41
CHEMBL2325101	35
CHEMBL53310	47
CHEMBL51028	44
CHEMBL1928954	0
CHEMBL2064388	15
CHEMBL3943512	13
CHEMBL354310	5
CHEMBL3263364	35
CHEMBL461114	2
CHEMBL3671564	38
CHEMBL424853	37
CHEMBL1241773	11
CHEMBL2325108	22
CHEMBL257872	12
CHEMBL325589	1
CHEMBL2048789	12
CHEMBL329672	27
CHEMBL3671493	38
CHEMBL1241683	11
CHEMBL3219502	27
CHEMBL489111	38
CHEMBL4105503	3
CHEMBL1243345	48
CHEMBL402339	9
CHEMBL321193	1
CHEMBL3774926	7
CHEMBL1242201	51
CHEMBL3655341	18
CHEMBL2347964	17
CHEMBL296407	8
CHEMBL2322329	12
CHEMBL592707	16
CHEMBL1272168	17
CHEMBL116525	48
CHEMBL3234747	30
CHEMBL3088220	22
CHEMBL1830273	4
CHEMBL3671520	38
CHEMBL308593	9
CHEMBL422758	33
CHEMBL3671476	38
CHEMBL598307	43
CHEMBL305194	12
CHEMBL2031299	41
CHEMBL2426288	44
CHEMBL1229592	52
CHEMBL2031309	48
CHEMBL202162	55
CHEMBL77197	48
CHEMBL4065288	41
CHEMBL3758585	23
CHEMBL544074	4
CHEMBL1928708	7
CHEMBL3325473	50
CHEMBL472942	13
CHEMBL3814460	41
CHEMBL3355879	37
CHEMBL3815161	41
CHEMBL3221555	13
CHEMBL248220	33
CHEMBL306988	14
CHEMBL592426	6
CHEMBL299194	1
CHEMBL31876	48
CHEMBL113863	1
CHEMBL185637	21
CHEMBL4073912	41
CHEMBL165630	7
CHEMBL1812567	41
CHEMBL512391	2
CHEMBL110035	48
CHEMBL92937	27
CHEMBL1173105	22
CHEMBL59145	8
CHEMBL3663925	52
CHEMBL1242111	51
CHEMBL3940089	29
CHEMBL1241490	11
CHEMBL3414594	47
CHEMBL96780	27
CHEMBL1242666	11
CHEMBL1204360	33
CHEMBL160935	55
CHEMBL14952	7
CHEMBL1173262	22
CHEMBL203645	21
CHEMBL1683962	2
CHEMBL76587	14
CHEMBL521155	46
CHEMBL461782	5
CHEMBL1914461	27
CHEMBL490577	8
CHEMBL1242748	51
CHEMBL1242475	51
CHEMBL3233772	21
CHEMBL141175	53
CHEMBL3753444	19
CHEMBL539102	47
CHEMBL3899132	13
CHEMBL56936	37
CHEMBL171311	11
CHEMBL1241678	51
CHEMBL474524	33
CHEMBL1241481	11
CHEMBL596964	37
CHEMBL157128	41
CHEMBL3671507	38
CHEMBL243628	38
CHEMBL3655348	18
CHEMBL459	8
CHEMBL91811	41
CHEMBL118321	53
CHEMBL1947125	41
CHEMBL398963	7
CHEMBL4078801	3
CHEMBL3962343	52
CHEMBL203295	26
CHEMBL3904966	29
CHEMBL118904	27
CHEMBL3671557	38
CHEMBL3910422	52
CHEMBL2424801	41
CHEMBL281467	41
CHEMBL3325470	50
CHEMBL78280	52
CHEMBL336113	7
CHEMBL4087709	33
CHEMBL14699	37
CHEMBL571040	38
CHEMBL1077107	36
CHEMBL3814211	21
CHEMBL1916897	25
CHEMBL3612593	15
CHEMBL1241300	51
CHEMBL2347965	17
CHEMBL1828865	54
CHEMBL4109796	5
CHEMBL540590	27
CHEMBL1242033	11
CHEMBL3806172	26
CHEMBL3622648	13
CHEMBL111586	48
CHEMBL2029690	43
CHEMBL401930	27
CHEMBL2335376	24
CHEMBL2152252	29
CHEMBL144589	8
CHEMBL1934624	2
CHEMBL464210	46
CHEMBL3671489	38
CHEMBL1952211	1
CHEMBL3972168	37
CHEMBL1947121	48
CHEMBL3355881	37
CHEMBL379041	27
CHEMBL197689	9
CHEMBL3237936	52
CHEMBL3344212	0
CHEMBL3818115	0
CHEMBL597096	43
CHEMBL1683952	2
CHEMBL3098326	40
CHEMBL1094475	24
CHEMBL129946	10
CHEMBL3941823	13
CHEMBL2148047	12
CHEMBL3234744	30
CHEMBL3234752	30
CHEMBL67057	12
CHEMBL3951754	13
CHEMBL271532	25
CHEMBL1830263	4
CHEMBL205454	47
CHEMBL382041	26
CHEMBL114073	48
CHEMBL4073285	32
CHEMBL426124	37
CHEMBL3815115	41
CHEMBL3416625	21
CHEMBL76958	4
CHEMBL589822	16
CHEMBL3416629	44
CHEMBL113900	41
CHEMBL131020	10
CHEMBL3906533	47
CHEMBL293584	28
CHEMBL116438	48
CHEMBL2408045	33
CHEMBL218677	33
CHEMBL592617	41
CHEMBL1928711	7
CHEMBL538507	4
CHEMBL361322	27
CHEMBL3929584	46
CHEMBL462338	47
CHEMBL3655354	18
CHEMBL3092317	13
CHEMBL3952953	13
CHEMBL2048790	12
CHEMBL3805584	26
CHEMBL451513	0
CHEMBL3671478	38
CHEMBL3671487	38
CHEMBL3973601	46
CHEMBL359830	19
CHEMBL1916951	54
CHEMBL208144	41
CHEMBL1641992	41
CHEMBL3775459	7
CHEMBL340611	10
CHEMBL431996	43
CHEMBL309075	4
CHEMBL3360603	37
CHEMBL3923650	13
CHEMBL3612573	15
CHEMBL1914668	46
CHEMBL481331	7
CHEMBL452768	0
CHEMBL4075103	41
CHEMBL473428	0
CHEMBL3353398	44
CHEMBL1945453	54
CHEMBL255237	9
CHEMBL517123	0
CHEMBL1241486	11
CHEMBL140213	53
CHEMBL185853	21
CHEMBL1242029	11
CHEMBL3823520	23
CHEMBL1242288	51
CHEMBL2093928	46
CHEMBL3962365	0
CHEMBL3633940	21
CHEMBL248108	9
CHEMBL3805238	26
CHEMBL130049	10
CHEMBL392774	9
CHEMBL1242846	11
CHEMBL3923275	44
CHEMBL1081198	19
CHEMBL135577	43
CHEMBL1910268	37
CHEMBL3416602	46
CHEMBL3092322	13
CHEMBL595406	33
CHEMBL521572	27
CHEMBL1365395	27
CHEMBL590568	16
CHEMBL520515	46
CHEMBL1630108	0
CHEMBL270895	25
CHEMBL1241864	51
CHEMBL3799332	46
CHEMBL158275	55
CHEMBL3699586	52
CHEMBL3612563	15
CHEMBL295961	32
CHEMBL139044	41
CHEMBL1242468	11
CHEMBL4086731	32
CHEMBL301549	27
CHEMBL2031297	41
CHEMBL158119	43
CHEMBL336192	10
CHEMBL55204	8
CHEMBL119156	53
CHEMBL1173457	22
CHEMBL3221553	13
CHEMBL125920	27
CHEMBL422292	41
CHEMBL90013	27
CHEMBL527026	48
CHEMBL3915508	47
CHEMBL1198361	27
CHEMBL15346	7
CHEMBL3671491	38
CHEMBL1087054	36
CHEMBL589832	4
CHEMBL1958022	35
CHEMBL2336358	43
CHEMBL3671481	38
CHEMBL595615	33
CHEMBL1242664	51
CHEMBL54471	8
CHEMBL3921446	41
CHEMBL3237938	50
CHEMBL2048798	12
CHEMBL3699597	52
CHEMBL155100	27
CHEMBL4078973	3
CHEMBL381306	27
CHEMBL2381507	52
CHEMBL347282	27
CHEMBL2070195	41
CHEMBL76444	46
CHEMBL3676380	38
CHEMBL3671575	38
CHEMBL606466	33
CHEMBL2283255	43
CHEMBL3358006	7
CHEMBL1684800	30
CHEMBL340399	7
CHEMBL2029440	44
CHEMBL56132	8
CHEMBL597304	43
CHEMBL54475	27
CHEMBL1945446	54
CHEMBL3263963	33
CHEMBL37543	27
CHEMBL3416619	27
CHEMBL402553	12
CHEMBL1241771	11
CHEMBL305660	4
CHEMBL3325476	50
CHEMBL3746642	22
CHEMBL2437483	5
CHEMBL166093	41
CHEMBL156555	43
CHEMBL219557	48
CHEMBL1828876	54
CHEMBL1821888	35
CHEMBL440453	1
CHEMBL543600	4
CHEMBL255135	12
CHEMBL3921555	21
CHEMBL590878	42
CHEMBL3639752	38
CHEMBL448730	27
CHEMBL544867	27
CHEMBL3970063	27
CHEMBL337035	10
CHEMBL150177	43
CHEMBL162981	7
CHEMBL3133910	41
CHEMBL205148	27
CHEMBL137364	7
CHEMBL189779	41
CHEMBL1958020	35
CHEMBL300791	37
CHEMBL435054	55
CHEMBL2048908	12
CHEMBL1945648	54
CHEMBL3671531	38
CHEMBL567197	9
CHEMBL247513	9
CHEMBL3297816	24
CHEMBL3586178	41
CHEMBL1095464	24
CHEMBL3586176	41
CHEMBL402316	9
CHEMBL3894938	5
CHEMBL3676377	38
CHEMBL572028	41
CHEMBL3968839	13
CHEMBL210444	41
CHEMBL2047015	21
CHEMBL299763	44
CHEMBL249921	7
CHEMBL1233882	11
CHEMBL3355882	37
CHEMBL169200	5
CHEMBL4091921	41
CHEMBL3798556	46
CHEMBL2336355	43
CHEMBL2148048	12
CHEMBL565467	9
CHEMBL3758889	46
CHEMBL473429	0
CHEMBL72322	27
CHEMBL3604937	44
CHEMBL469355	13
CHEMBL138363	41
CHEMBL113985	41
CHEMBL3676393	38
CHEMBL3929002	37
CHEMBL3930316	37
CHEMBL500115	0
CHEMBL555321	27
CHEMBL3622624	13
CHEMBL1080272	0
CHEMBL484109	24
CHEMBL1828868	54
CHEMBL173478	5
CHEMBL3699608	52
CHEMBL288441	33
CHEMBL401054	33
CHEMBL492199	8
CHEMBL153525	9
CHEMBL332971	9
CHEMBL4110614	5
CHEMBL59099	32
CHEMBL3622632	13
CHEMBL3622677	13
CHEMBL3775911	7
CHEMBL3948267	41
CHEMBL3926223	47
CHEMBL330879	53
CHEMBL3416633	0
CHEMBL4061912	32
CHEMBL53850	32
CHEMBL1812570	41
CHEMBL2112369	41
CHEMBL2031300	41
CHEMBL204420	29
CHEMBL3655353	18
CHEMBL1821867	35
CHEMBL514566	9
CHEMBL2021575	41
CHEMBL299881	7
CHEMBL1242117	51
CHEMBL4101774	41
CHEMBL2047016	21
CHEMBL94431	27
CHEMBL1914666	46
CHEMBL1242207	11
CHEMBL1830272	4
CHEMBL3218002	0
CHEMBL358934	27
CHEMBL1173816	22
CHEMBL257478	12
CHEMBL165495	7
CHEMBL3219504	27
CHEMBL3676365	38
CHEMBL380454	33
CHEMBL3360613	37
CHEMBL3233767	21
CHEMBL109476	48
CHEMBL3092308	13
CHEMBL3613691	22
CHEMBL600048	6
CHEMBL65848	12
CHEMBL589068	6
CHEMBL3545154	29
CHEMBL2424796	7
CHEMBL10	35
CHEMBL1087368	0
CHEMBL1907763	33
CHEMBL3741026	23
CHEMBL271705	12
CHEMBL309598	8
CHEMBL3914322	46
CHEMBL3901296	13
CHEMBL3335244	32
CHEMBL310853	27
CHEMBL408683	5
CHEMBL56983	44
CHEMBL2347972	17
CHEMBL345203	43
CHEMBL2425090	37
CHEMBL3671542	38
CHEMBL399953	33
CHEMBL590714	6
CHEMBL601040	4
CHEMBL3806143	27
CHEMBL3759359	46
CHEMBL2425093	37
CHEMBL52765	7
CHEMBL69964	12
CHEMBL3909214	21
CHEMBL473141	13
CHEMBL3977326	13
CHEMBL461797	41
CHEMBL479	47
CHEMBL3663937	52
CHEMBL1956885	24
CHEMBL2437466	44
CHEMBL3233763	21
CHEMBL3655336	18
CHEMBL589801	6
CHEMBL1683967	2
CHEMBL153419	47
CHEMBL3221541	13
CHEMBL2029427	44
CHEMBL117554	27
CHEMBL144908	8
CHEMBL76751	27
CHEMBL1817965	53
CHEMBL2325094	35
CHEMBL3898077	29
CHEMBL3805333	26
CHEMBL76905	14
CHEMBL2337363	31
CHEMBL53831	7
CHEMBL3133897	18
CHEMBL4084249	32
CHEMBL593306	33
CHEMBL31622	38
CHEMBL483321	21
CHEMBL251123	33
CHEMBL91009	41
CHEMBL2048909	12
CHEMBL399372	33
CHEMBL3827349	27
CHEMBL329161	27
CHEMBL3233777	21
CHEMBL1241483	11
CHEMBL1173665	22
CHEMBL1241588	11
CHEMBL3758762	46
CHEMBL3893698	25
CHEMBL492077	38
CHEMBL3608431	52
CHEMBL245667	9
CHEMBL1241301	51
CHEMBL51854	7
CHEMBL474267	8
CHEMBL1241949	11
CHEMBL3633936	0
CHEMBL3741655	51
CHEMBL3890526	47
CHEMBL2112370	41
CHEMBL76602	53
CHEMBL442754	41
CHEMBL1171273	22
CHEMBL2064390	15
CHEMBL3133752	13
CHEMBL1241775	11
CHEMBL326100	53
CHEMBL3352899	37
CHEMBL3741399	37
CHEMBL2031306	48
CHEMBL4104427	49
CHEMBL3353396	44
CHEMBL111365	1
CHEMBL244948	28
CHEMBL293250	55
CHEMBL3114700	15
CHEMBL242131	41
CHEMBL3806066	26
CHEMBL3915202	44
CHEMBL360209	23
CHEMBL3739750	35
CHEMBL304929	47
CHEMBL3357637	13
CHEMBL2335378	24
CHEMBL1830261	4
CHEMBL572030	41
CHEMBL2018748	23
CHEMBL2437477	5
CHEMBL3676382	38
CHEMBL1958033	35
CHEMBL3360619	37
CHEMBL2442327	1
CHEMBL1683972	2
CHEMBL3416612	46
CHEMBL3765425	23
CHEMBL3808884	19
CHEMBL4084726	3
CHEMBL2448066	33
CHEMBL3647418	48
CHEMBL66409	27
CHEMBL2064382	15
CHEMBL2047022	21
CHEMBL255656	9
CHEMBL1828874	54
CHEMBL508481	41
CHEMBL515664	9
CHEMBL2064399	15
CHEMBL3923551	23
CHEMBL3893822	21
CHEMBL3357639	13
CHEMBL190567	41
CHEMBL542887	4
CHEMBL296168	41
CHEMBL241919	38
CHEMBL29641	47
CHEMBL3968039	13
CHEMBL1336	13
CHEMBL2312649	30
CHEMBL1242470	51
CHEMBL333454	53
CHEMBL261238	48
CHEMBL599218	23
CHEMBL395883	9
CHEMBL3699581	52
CHEMBL134312	41
CHEMBL1952210	1
CHEMBL501256	46
CHEMBL3805218	26
CHEMBL3752074	19
CHEMBL1645470	9
CHEMBL3221258	13
CHEMBL62176	55
CHEMBL3759830	23
CHEMBL53311	7
CHEMBL593911	33
CHEMBL485065	4
