ID	Cluster_ID
CHEMBL207869	5
CHEMBL3940060	51
CHEMBL3678951	13
CHEMBL504034	16
CHEMBL158797	48
CHEMBL4069003	2
CHEMBL599047	4
CHEMBL93545	0
CHEMBL93181	0
CHEMBL203644	22
CHEMBL591706	35
CHEMBL217536	4
CHEMBL498134	45
CHEMBL248674	29
CHEMBL129579	45
CHEMBL78150	26
CHEMBL1241948	40
CHEMBL3233765	22
CHEMBL103860	27
CHEMBL3752916	23
CHEMBL93784	4
CHEMBL2047247	30
CHEMBL592153	42
CHEMBL1947122	9
CHEMBL2283257	42
CHEMBL53637	4
CHEMBL1257911	31
CHEMBL1614725	15
CHEMBL21108	3
CHEMBL3335245	18
CHEMBL1821893	31
CHEMBL4065503	4
CHEMBL294681	25
CHEMBL483232	26
CHEMBL2385986	33
CHEMBL3436359	16
CHEMBL1095131	12
CHEMBL205149	17
CHEMBL2425737	4
CHEMBL263666	48
CHEMBL3740910	23
CHEMBL57300	41
CHEMBL598377	7
CHEMBL2348194	6
CHEMBL3092309	32
CHEMBL2029697	33
CHEMBL1080812	16
CHEMBL1088348	33
CHEMBL3671572	50
CHEMBL2312304	33
CHEMBL78184	26
CHEMBL283682	4
CHEMBL3628907	0
CHEMBL4087646	2
CHEMBL110036	9
CHEMBL4091166	4
CHEMBL415738	5
CHEMBL1641989	4
CHEMBL450396	16
CHEMBL4104717	28
CHEMBL117697	29
CHEMBL168921	21
CHEMBL2029436	13
CHEMBL255865	45
CHEMBL57170	25
CHEMBL55979	35
CHEMBL1630117	16
CHEMBL324045	9
CHEMBL4062192	28
CHEMBL3671547	50
CHEMBL112096	44
CHEMBL330668	29
CHEMBL1203934	53
CHEMBL425601	44
CHEMBL205870	5
CHEMBL3085277	11
CHEMBL474343	45
CHEMBL45068	27
CHEMBL3218347	45
CHEMBL4064937	28
CHEMBL1242661	46
CHEMBL111688	9
CHEMBL480348	16
CHEMBL1170459	34
CHEMBL77524	26
CHEMBL56201	41
CHEMBL3800262	11
CHEMBL3671497	50
CHEMBL3957416	32
CHEMBL2408824	13
CHEMBL345837	48
CHEMBL2437474	21
CHEMBL598611	7
CHEMBL35820	0
CHEMBL3416593	6
CHEMBL378145	0
CHEMBL1958220	31
CHEMBL4111809	33
CHEMBL36164	0
CHEMBL3908303	11
CHEMBL3671530	50
CHEMBL511990	32
CHEMBL4093114	4
CHEMBL2325101	31
CHEMBL53310	29
CHEMBL51028	13
CHEMBL1928954	16
CHEMBL2064388	51
CHEMBL3943512	32
CHEMBL354310	21
CHEMBL3263364	31
CHEMBL461114	5
CHEMBL3671564	50
CHEMBL424853	7
CHEMBL1241773	40
CHEMBL2325108	34
CHEMBL257872	15
CHEMBL325589	1
CHEMBL2048789	15
