molecule_chembl_id,canonical_smiles,IC50
CHEMBL3808884,COC(=O)c1cc2cc(NCc3cc(NC(=O)c4cc(-n5cnc(C)c5)cc(C(F)(F)F)c4)ccc3C)cnc2[nH]1,112.0
CHEMBL285063,C=CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,36.0
CHEMBL48802,C[S+]([O-])CCCCN=C=S,9000.0
CHEMBL3809045,S=C=Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,880.0
CHEMBL52765,Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,6100.0
CHEMBL3815045,CCn1c(-c2nc(-c3cnn(C4CCN(C)CC4)c3)cnc2N)nc2ccccc21,50.0
CHEMBL3813979,CN1CCC(n2cc(-c3cnc(N)c(-c4nc5ccccc5[nH]4)n3)cn2)CC1,290.0
CHEMBL3814825,C=CC(=O)Nc1cccc(-n2c(-c3nc(-c4cnn(C5CCN(C)CC5)c4)cnc3N)nc3ccccc32)c1,1.0
CHEMBL3814878,C=CC(=O)NCCCn1c(-c2nc(-c3cnn(C4CCN(C)CC4)c3)cnc2N)nc2ccccc21,200.0
CHEMBL3813746,C=CC(=O)NCCn1c(-c2nc(-c3cnn(C4CCN(C)CC4)c3)cnc2N)nc2ccccc21,2200.0
CHEMBL3814959,NC(=O)Nc1ccc2ncnc(Nc3ccc(Br)cc3)c2c1,0.803
CHEMBL2031296,CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,1.01
CHEMBL3814447,C#Cc1cccc(Nc2ncnc3ccc(NC(N)=O)cc23)c1,2.22
CHEMBL3815074,C#Cc1cccc(Nc2ncnc3ccc(NC(C)=O)cc23)c1,2.04
CHEMBL3814211,NC(=O)Nc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,0.854
CHEMBL3814257,CC(=O)Nc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,0.662
CHEMBL3633928,NC(=O)Nc1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1,2.03
CHEMBL3814846,CC(=O)Nc1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1,3.96
CHEMBL3814320,O=C(NCCN1CCOCC1)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,1.43
CHEMBL3814882,O=C(NCCN1CCCCC1)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,0.772
CHEMBL3815161,O=C(NCCN1CCOCC1)Nc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,2.92
CHEMBL3814956,O=C(NCCN1CCCCC1)Nc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,1.06
CHEMBL939,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,0.509
CHEMBL3814445,Fc1ccc(Nc2ncnc3ccc(NC(=S)NCCN4CCOCC4)cc23)cc1Cl,2.25
CHEMBL3814694,Fc1ccc(Nc2ncnc3ccc(NC(=S)NCCN4CCCCC4)cc23)cc1Cl,3.7
CHEMBL3815163,S=C(NCCN1CCOCC1)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,1.81
CHEMBL3813728,Fc1cccc(COc2ccc(Nc3ncnc4ccc(NC(=S)NCCN5CCOCC5)cc34)cc2Cl)c1,2.26
CHEMBL3814182,S=C(NCCN1CCOCC1)Nc1ccc2ncnc(Nc3ccc(Cl)c(Cl)c3)c2c1,9.05
CHEMBL3814816,S=C(NCCN1CCOCC1)Nc1ccc2ncnc(Nc3ccc(Cl)cc3)c2c1,5.06
CHEMBL3813876,Fc1ccc(Nc2ncnc3ccc(NC(=S)NCCCN4CCOCC4)cc23)cc1Cl,0.495
CHEMBL3814812,Fc1cccc(COc2ccc(Nc3ncnc4ccc(NC(=S)NCCCN5CCOCC5)cc34)cc2Cl)c1,1.5
CHEMBL3814959,NC(=O)Nc1ccc2ncnc(Nc3ccc(Br)cc3)c2c1,273.0
CHEMBL2031296,CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,41.0
CHEMBL3814447,C#Cc1cccc(Nc2ncnc3ccc(NC(N)=O)cc23)c1,194.0
CHEMBL3815074,C#Cc1cccc(Nc2ncnc3ccc(NC(C)=O)cc23)c1,39.0
CHEMBL3814211,NC(=O)Nc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,315.0
CHEMBL3814257,CC(=O)Nc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,264.0
CHEMBL3633928,NC(=O)Nc1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1,186.0
CHEMBL3814846,CC(=O)Nc1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1,410.0
CHEMBL3814320,O=C(NCCN1CCOCC1)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,269.0
CHEMBL3814882,O=C(NCCN1CCCCC1)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,21.0
CHEMBL3815161,O=C(NCCN1CCOCC1)Nc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,87.0
CHEMBL3814956,O=C(NCCN1CCCCC1)Nc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,62.0
CHEMBL3814460,O=C(NCCN1CCOCC1)Nc1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1,259.0
CHEMBL3814021,O=C(NCCN1CCCCC1)Nc1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1,500.0
CHEMBL939,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,127.0
CHEMBL3814445,Fc1ccc(Nc2ncnc3ccc(NC(=S)NCCN4CCOCC4)cc23)cc1Cl,150.0
CHEMBL3814694,Fc1ccc(Nc2ncnc3ccc(NC(=S)NCCN4CCCCC4)cc23)cc1Cl,80.0
CHEMBL3815163,S=C(NCCN1CCOCC1)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,76.0
CHEMBL3813728,Fc1cccc(COc2ccc(Nc3ncnc4ccc(NC(=S)NCCN5CCOCC5)cc34)cc2Cl)c1,332.0
CHEMBL3814940,Fc1cccc(COc2ccc(Nc3ncnc4ccc(NC(=S)NCCN5CCCCC5)cc34)cc2Cl)c1,296.0
CHEMBL3814182,S=C(NCCN1CCOCC1)Nc1ccc2ncnc(Nc3ccc(Cl)c(Cl)c3)c2c1,772.0
CHEMBL3814816,S=C(NCCN1CCOCC1)Nc1ccc2ncnc(Nc3ccc(Cl)cc3)c2c1,66.0
CHEMBL3815115,S=C(NCCCN1CCOCC1)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,247.0
CHEMBL3813876,Fc1ccc(Nc2ncnc3ccc(NC(=S)NCCCN4CCOCC4)cc23)cc1Cl,390.0
CHEMBL3814812,Fc1cccc(COc2ccc(Nc3ncnc4ccc(NC(=S)NCCCN5CCOCC5)cc34)cc2Cl)c1,271.0
CHEMBL3814846,CC(=O)Nc1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1,2100.0
CHEMBL3814021,O=C(NCCN1CCCCC1)Nc1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1,2030.0
CHEMBL939,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,10000.0
CHEMBL3814940,Fc1cccc(COc2ccc(Nc3ncnc4ccc(NC(=S)NCCN5CCCCC5)cc34)cc2Cl)c1,1760.0
CHEMBL3814846,CC(=O)Nc1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1,2280.0
CHEMBL3814021,O=C(NCCN1CCCCC1)Nc1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1,2380.0
CHEMBL939,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,10000.0
CHEMBL3814940,Fc1cccc(COc2ccc(Nc3ncnc4ccc(NC(=S)NCCN5CCCCC5)cc34)cc2Cl)c1,2310.0
CHEMBL3818364,CCOc1cc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2cc1NC(=O)[C@H]1COC(=O)N1,110.6
