molecule_chembl_id,canonical_smiles,IC50
CHEMBL3806066,COCCOc1cc2ncnc(Nc3cccc(OC)c3)c2c2c1OCCO2,109.1
CHEMBL3805491,COCCOc1cc2ncnc(Nc3ccc(OC)c([N+](=O)[O-])c3)c2c2c1OCCO2,1000.0
CHEMBL3805333,COCCOc1cc2ncnc(Nc3ccc(F)c([N+](=O)[O-])c3)c2c2c1OCCO2,1000.0
CHEMBL3805299,COCCOc1cc2ncnc(Nc3ccc(C)c([N+](=O)[O-])c3)c2c2c1OCCO2,1000.0
CHEMBL3806200,COCCOc1cc2ncnc(Nc3ccc(Cl)c([N+](=O)[O-])c3)c2c2c1OCCO2,1000.0
CHEMBL3805280,COCCOc1cc2ncnc(Nc3ccc(F)c(C#N)c3)c2c2c1OCCO2,1000.0
CHEMBL3806213,Fc1ccc(Nc2ncnc3cc(OCC4CCCO4)c4c(c23)OCCO4)cc1Cl,1000.0
CHEMBL3805325,C#Cc1cccc(Nc2ncnc3cc(OCC4CCCO4)c4c(c23)OCCO4)c1,121.0
CHEMBL3805475,COc1ccc(Nc2ncnc3cc(OC(C)C)c4c(c23)OCCO4)cc1[N+](=O)[O-],1000.0
CHEMBL3805383,CC(C)Oc1cc2ncnc(Nc3ccc(F)c([N+](=O)[O-])c3)c2c2c1OCCO2,1000.0
CHEMBL3805089,Cc1ccc(Nc2ncnc3cc(OC(C)C)c4c(c23)OCCO4)cc1[N+](=O)[O-],1000.0
CHEMBL3805177,CC(C)Oc1cc2ncnc(Nc3ccc(Cl)c([N+](=O)[O-])c3)c2c2c1OCCO2,1303.2
CHEMBL3805949,CC(C)Oc1cc2ncnc(Nc3ccc(F)c(C#N)c3)c2c2c1OCCO2,1000.0
CHEMBL3806321,Cc1ccc(Nc2ncnc3cc(OC(C)C)c4c(c23)OCCO4)cc1C#N,1000.0
CHEMBL3805283,CC(C)Oc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2c2c1OCCO2,46.28
CHEMBL3805509,C#Cc1cccc(Nc2ncnc3cc(OC(C)C)c4c(c23)OCCO4)c1,31.4
CHEMBL3805402,CCOC(C)Oc1cc2ncnc(Nc3ccc(OC)c([N+](=O)[O-])c3)c2c2c1OCCO2,1000.0
CHEMBL3806172,CCOC(C)Oc1cc2ncnc(Nc3ccc(F)c([N+](=O)[O-])c3)c2c2c1OCCO2,270.6
CHEMBL3805260,CCOC(C)Oc1cc2ncnc(Nc3ccc(C)c([N+](=O)[O-])c3)c2c2c1OCCO2,1000.0
CHEMBL3805654,CCOC(C)Oc1cc2ncnc(Nc3ccc(F)c(C#N)c3)c2c2c1OCCO2,1000.0
CHEMBL3805618,CCOC(C)Oc1cc2ncnc(Nc3ccc(C)c(C#N)c3)c2c2c1OCCO2,1000.0
CHEMBL3805775,COCC(C)Oc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2c2c1OCCO2,89.2
CHEMBL3805584,C#Cc1cccc(Nc2ncnc3cc(OC(C)COC)c4c(c23)OCCO4)c1,76.1
CHEMBL3805782,Fc1ccc(Nc2ncnc3cc(OC4CCOC4)c4c(c23)OCCO4)cc1Cl,150.9
CHEMBL3806170,C#Cc1cccc(Nc2ncnc3cc(OC4CCOC4)c4c(c23)OCCO4)c1,323.6
CHEMBL3806222,Fc1ccc(Nc2ncnc3cc(OC4CCOCC4)c4c(c23)OCCO4)cc1Cl,1000.0
CHEMBL3806145,C#Cc1cccc(Nc2ncnc3cc(OC4CCOCC4)c4c(c23)OCCO4)c1,1000.0
CHEMBL939,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,22.5
CHEMBL29197,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC,0.025
CHEMBL3805675,COc1cccc(C2CC(c3ccc4c(c3)OCCO4)=NN2c2ccccc2)c1,300000.0
CHEMBL3805508,c1ccc(COc2cccc(C3CC(c4ccc5c(c4)OCCO5)=NN3c3ccccc3)c2)cc1,7920.0
CHEMBL3805409,Clc1cccc(C2CC(c3ccc4c(c3)OCCO4)=NN2c2ccccc2)c1,81200.0
CHEMBL3805893,c1ccc(COc2ccc(C3CC(c4ccc5c(c4)OCCO5)=NN3c3ccccc3)cc2)cc1,9040.0
CHEMBL3806108,CN(C)c1ccc(C2CC(c3ccc4c(c3)OCCO4)=NN2c2ccccc2)cc1,300000.0
CHEMBL3805849,Clc1ccc(C2CC(c3ccc4c(c3)OCCO4)=NN2c2ccccc2)cc1Cl,192000.0
CHEMBL3808884,COC(=O)c1cc2cc(NCc3cc(NC(=O)c4cc(-n5cnc(C)c5)cc(C(F)(F)F)c4)ccc3C)cnc2[nH]1,15.0
