ID	Cluster_ID
CHEMBL63786	58
CHEMBL35820	58
CHEMBL53711	58
CHEMBL66031	58
CHEMBL53753	58
CHEMBL176582	58
CHEMBL29197	51
CHEMBL174426	58
CHEMBL1243316	52
CHEMBL363815	42
CHEMBL3613702	42
CHEMBL275762	42
CHEMBL327307	40
CHEMBL53428	58
CHEMBL420624	58
CHEMBL55729	34
CHEMBL190094	2
CHEMBL328216	58
CHEMBL193160	2
CHEMBL3930620	42
CHEMBL51853	58
CHEMBL54400	58
CHEMBL3892310	59
CHEMBL417478	59
CHEMBL418967	58
CHEMBL592617	2
CHEMBL93032	58
CHEMBL166093	2
CHEMBL2031302	59
CHEMBL166154	58
CHEMBL165864	58
CHEMBL437879	43
CHEMBL161956	2
CHEMBL2031300	2
CHEMBL127041	41
CHEMBL316064	51
CHEMBL52913	41
CHEMBL328955	58
CHEMBL3360608	15
CHEMBL152905	58
CHEMBL3929484	42
CHEMBL2031303	59
CHEMBL2031298	2
CHEMBL128468	41
CHEMBL355816	2
CHEMBL2031297	2
CHEMBL426580	58
CHEMBL2031305	59
CHEMBL4290812	6
CHEMBL3623290	43
CHEMBL3357644	59
CHEMBL203644	42
CHEMBL3360603	40
CHEMBL3360606	40
CHEMBL366580	58
CHEMBL163369	2
CHEMBL91980	58
CHEMBL603266	2
CHEMBL39320	58
CHEMBL599863	2
CHEMBL3895468	59
CHEMBL2029434	18
CHEMBL2447950	58
CHEMBL4282543	6
CHEMBL51741	50
CHEMBL3901622	60
CHEMBL3759317	60
CHEMBL4112924	59
CHEMBL1204199	58
CHEMBL2029429	18
CHEMBL31815	2
CHEMBL188762	2
CHEMBL2029428	18
CHEMBL351629	2
CHEMBL39337	58
CHEMBL40734	58
CHEMBL443523	41
CHEMBL304271	54
CHEMBL162821	58
CHEMBL3360609	15
CHEMBL3818015	51
CHEMBL539822	58
CHEMBL3355875	40
CHEMBL54088	2
CHEMBL3360617	15
CHEMBL2021576	2
CHEMBL3355881	15
CHEMBL3355882	15
CHEMBL4071474	30
CHEMBL203599	42
CHEMBL2347958	59
CHEMBL3758770	60
CHEMBL2021575	2
CHEMBL3758582	60
CHEMBL3901296	59
CHEMBL2031299	2
CHEMBL2031304	59
CHEMBL126791	41
CHEMBL49986	41
CHEMBL3360611	15
CHEMBL165547	2
CHEMBL3355880	15
CHEMBL3360610	15
CHEMBL2029435	18
CHEMBL4282954	6
CHEMBL4105621	18
CHEMBL3891846	60
CHEMBL378144	2
CHEMBL127086	41
CHEMBL1204262	58
CHEMBL3920583	42
CHEMBL162622	58
CHEMBL3360607	15
CHEMBL3355878	15
CHEMBL1204168	51
CHEMBL3814257	42
CHEMBL3357636	59
CHEMBL317925	41
CHEMBL2437462	18
CHEMBL2031307	52
CHEMBL92937	51
CHEMBL3957055	42
CHEMBL280757	42
CHEMBL3909201	43
CHEMBL4279016	6
CHEMBL4287401	6
CHEMBL4293145	6
CHEMBL4294211	6
CHEMBL4284071	55
CHEMBL289213	58
CHEMBL54091	42
CHEMBL339416	41
CHEMBL31373	42
CHEMBL28418	42
CHEMBL53555	42
CHEMBL3360602	40
CHEMBL3814882	2
CHEMBL162142	58
CHEMBL53300	34
CHEMBL36727	58
CHEMBL4087740	18
CHEMBL1243345	52
CHEMBL3814959	42
CHEMBL3360620	15
CHEMBL3814211	42
CHEMBL3355874	40
CHEMBL96065	51
CHEMBL3233785	42
CHEMBL3759199	60
CHEMBL3946096	43
CHEMBL205059	42
CHEMBL3759369	60
CHEMBL3622664	59
CHEMBL53690	2
CHEMBL338114	41
CHEMBL126372	41
CHEMBL165630	2
CHEMBL189779	2
CHEMBL31816	6
CHEMBL328106	43
CHEMBL31570	59
CHEMBL3655342	54
CHEMBL121954	41
CHEMBL3678946	37
CHEMBL3741490	15
CHEMBL3655350	54
CHEMBL3655340	54
CHEMBL3655341	54
CHEMBL3674150	37
CHEMBL153573	58
CHEMBL3655347	54
CHEMBL271705	5
CHEMBL3416592	60
CHEMBL4126630	18
CHEMBL3655338	54
CHEMBL415738	58
CHEMBL310853	58
CHEMBL431977	58
CHEMBL76751	58
CHEMBL308498	58
CHEMBL165574	58
CHEMBL30432	58
CHEMBL4095447	50
CHEMBL3655336	54
CHEMBL312753	58
CHEMBL213007	43
CHEMBL4090601	50
CHEMBL79215	58
CHEMBL2031296	2
CHEMBL1204305	51
CHEMBL3814956	42
CHEMBL3818547	59
CHEMBL2437469	18
CHEMBL3355879	15
CHEMBL4099329	44
CHEMBL4209019	37
CHEMBL3960853	60
CHEMBL3970231	43
CHEMBL165788	24
CHEMBL264382	54
CHEMBL437890	42
CHEMBL162034	2
CHEMBL358934	58
CHEMBL4206716	37
CHEMBL3655337	54
CHEMBL296168	2
CHEMBL3663925	30
CHEMBL3663926	55
CHEMBL2032376	18
CHEMBL3663934	30
CHEMBL166358	2
CHEMBL69358	54
CHEMBL3663927	55
CHEMBL3622639	59
CHEMBL153206	58
CHEMBL3663923	55
CHEMBL162223	58
CHEMBL53665	42
CHEMBL4288246	17
CHEMBL3663936	30
CHEMBL3622645	15
CHEMBL3622632	15
CHEMBL127058	2
CHEMBL4091276	18
CHEMBL598007	2
CHEMBL153525	41
CHEMBL2441568	20
CHEMBL161895	58
CHEMBL3545154	43
CHEMBL3752363	18
CHEMBL3663930	55
CHEMBL3916927	40
CHEMBL3663921	55
CHEMBL3663933	30
CHEMBL203661	42
CHEMBL3663935	30
CHEMBL176891	58
CHEMBL3972316	25
CHEMBL4286318	17
CHEMBL3663922	55
CHEMBL3663928	55
CHEMBL127082	58
CHEMBL202411	42
CHEMBL128467	41
CHEMBL2138625	59
CHEMBL4086000	18
CHEMBL3929060	43
CHEMBL3655344	54
CHEMBL1916891	53
CHEMBL3932784	43
CHEMBL3814320	2
CHEMBL2031306	52
CHEMBL2032380	18
CHEMBL3759359	60
CHEMBL3663924	55
CHEMBL3663937	55
CHEMBL338175	41
CHEMBL165508	58
CHEMBL204638	42
CHEMBL3919609	60
CHEMBL3759480	60
CHEMBL31656	59
CHEMBL27688	15
CHEMBL165731	58
CHEMBL3939913	25
CHEMBL4071827	1
CHEMBL202360	2
CHEMBL4085842	17
CHEMBL3898690	6
CHEMBL416611	58
CHEMBL53637	2
CHEMBL297968	41
CHEMBL516979	58
CHEMBL3663932	55
CHEMBL32079	59
CHEMBL1089524	2
CHEMBL32844	15
CHEMBL173498	58
CHEMBL4126810	58
CHEMBL162981	58
CHEMBL203645	42
CHEMBL204085	42
CHEMBL166255	2
CHEMBL4086056	40
CHEMBL3663931	55
CHEMBL67003	20
CHEMBL4078120	18
CHEMBL4064475	18
CHEMBL4095439	18
CHEMBL356850	58
CHEMBL3985465	43
CHEMBL251125	4
CHEMBL3622617	15
CHEMBL349070	2
CHEMBL162508	58
CHEMBL382073	42
CHEMBL27685	59
CHEMBL1243283	52
CHEMBL3815163	2
CHEMBL2048903	5
CHEMBL126623	41
CHEMBL31276	2
CHEMBL2029432	18
CHEMBL596754	15
CHEMBL218677	43
CHEMBL31622	15
CHEMBL3758351	51
CHEMBL418909	58
CHEMBL387265	43
CHEMBL4094959	50
CHEMBL3647422	59
CHEMBL4103201	50
CHEMBL3674148	37
CHEMBL126192	58
CHEMBL3040861	58
CHEMBL3950549	59
CHEMBL93966	58
CHEMBL3758278	60
CHEMBL3758376	54
CHEMBL3758800	60
CHEMBL3759961	60
CHEMBL56936	15
CHEMBL3968417	42
CHEMBL310740	58
CHEMBL3233795	42
CHEMBL94062	2
CHEMBL250132	5
CHEMBL3952953	59
CHEMBL3961553	60
CHEMBL3233779	42
CHEMBL4068047	18
CHEMBL3928512	60
CHEMBL3655339	54
CHEMBL3898077	43
CHEMBL213874	43
CHEMBL587723	60
CHEMBL2087360	20
CHEMBL3545308	55
CHEMBL2087361	51
CHEMBL3604943	6
CHEMBL3671486	8
CHEMBL3671496	8
CHEMBL3671498	8
CHEMBL3678960	2
CHEMBL2419760	58
CHEMBL332906	41
CHEMBL3806248	20
CHEMBL3671491	8
CHEMBL2087358	58
CHEMBL214798	43
CHEMBL3930316	6
CHEMBL2031309	52
CHEMBL3815074	42
CHEMBL155278	58
CHEMBL597773	15
CHEMBL3622665	59
CHEMBL4206288	37
CHEMBL4215080	37
CHEMBL3960167	25
CHEMBL2031308	52
CHEMBL3814447	42
CHEMBL3814445	42
CHEMBL3910496	9
CHEMBL4209801	37
CHEMBL4225166	17
CHEMBL4083486	18
CHEMBL4060996	44
CHEMBL53299	58
CHEMBL598797	15
CHEMBL4207750	40
CHEMBL3622675	15
CHEMBL139095	58
CHEMBL4079861	18
CHEMBL3219127	18
CHEMBL4215076	37
CHEMBL4063421	18
CHEMBL592216	40
CHEMBL4099682	44
CHEMBL341319	2
CHEMBL4096021	17
CHEMBL287007	58
CHEMBL4104658	17
CHEMBL53062	58
CHEMBL4171764	58
CHEMBL4227201	17
CHEMBL285063	2
CHEMBL151593	58
CHEMBL136511	58
CHEMBL3622672	59
CHEMBL3952157	60
CHEMBL281543	59
CHEMBL305246	20
CHEMBL2048795	5
CHEMBL163188	58
CHEMBL2437460	18
CHEMBL2048906	5
CHEMBL3633146	18
CHEMBL3815161	42
CHEMBL1336	13
CHEMBL3828269	20
CHEMBL2048796	5
CHEMBL3114690	15
CHEMBL3935492	43
CHEMBL3633929	42
CHEMBL3633142	18
CHEMBL3671490	8
CHEMBL215786	40
CHEMBL258270	5
CHEMBL3233773	42
CHEMBL4072299	50
CHEMBL3759986	60
CHEMBL3961848	6
CHEMBL4060919	50
CHEMBL79206	58
CHEMBL125086	58
CHEMBL250130	5
CHEMBL4214567	22
CHEMBL203725	41
CHEMBL3965391	43
CHEMBL3759725	60
CHEMBL80540	58
CHEMBL3233792	42
CHEMBL4113919	37
CHEMBL3622640	8
CHEMBL3085376	51
CHEMBL3760082	60
CHEMBL258940	42
CHEMBL3671500	8
CHEMBL286343	15
CHEMBL3114700	15
CHEMBL473428	39
CHEMBL4165894	15
CHEMBL214857	43
CHEMBL3355873	40
CHEMBL165495	58
CHEMBL4100777	18
CHEMBL2048797	5
CHEMBL53156	58
CHEMBL4245415	36
CHEMBL373207	42
CHEMBL202556	42
CHEMBL52882	58
CHEMBL4105329	30
CHEMBL598377	15
CHEMBL591038	40
CHEMBL128987	41
CHEMBL127611	58
CHEMBL4279227	17
CHEMBL4206166	37
CHEMBL4127809	55
CHEMBL4071058	2
CHEMBL4225863	17
CHEMBL340700	58
CHEMBL1914461	4
CHEMBL105053	60
CHEMBL2035810	39
CHEMBL4072048	18
CHEMBL3967512	55
CHEMBL4087268	18
CHEMBL433205	24
CHEMBL3622674	15
CHEMBL1916897	53
CHEMBL51659	2
CHEMBL3403517	50
CHEMBL598163	15
CHEMBL4102389	18
CHEMBL39715	58
CHEMBL3355888	40
CHEMBL36164	58
CHEMBL340898	41
CHEMBL4227091	17
CHEMBL2029425	18
CHEMBL3828021	58
CHEMBL430571	2
CHEMBL3805859	20
CHEMBL31419	15
CHEMBL4168235	15
CHEMBL40130	58
CHEMBL1914653	60
CHEMBL3814694	42
CHEMBL38199	58
CHEMBL96780	51
CHEMBL3980793	43
CHEMBL1914654	60
CHEMBL94431	51
CHEMBL3892567	60
CHEMBL166307	58
CHEMBL4217992	37
CHEMBL4228672	17
CHEMBL31588	15
CHEMBL3814846	39
CHEMBL2437467	18
CHEMBL421326	58
CHEMBL78018	58
CHEMBL3895411	43
CHEMBL3233786	42
CHEMBL250923	51
CHEMBL3961961	60
CHEMBL3676357	8
CHEMBL3678952	37
